User_ID,Platform,Subscription_Tier,AI_Feature_Used,User_Mood_Pre_Watch,Device_Type,Content_Type,Region,Data_Privacy_Setting,Engagement_Score,Daily_Viewing_Time_Min,Churn_Risk_Probability,Monthly_Subscription_Cost_USD,AI_Feature_Satisfaction,Content_Items_Watched,Weekly_Sessions
USR-00028,Netflix,Ad-Supported,AI-Generated Summary,Energetic,AI-Integrated TV,Shorts,Europe,Low,57,92,0.2184,2.7,6.05,31,1
USR-00029,Netflix,Premium AI-Plus,Virtual Background Sync,Bored,AI-Integrated TV,Movies,Latin America,High,100,129,0.4434,30.22,9.92,1,7
USR-00030,TikTok,Standard,Personalized Story Ending,Anxious,Foldable Phone,Education,Asia Pacific,Low,30,90,0.21,9.84,3.77,4,1
USR-00031,Disney+ AI,Standard,AI-Generated Summary,Stressed,AI-Integrated TV,Education,Latin America,Medium,59,179,0.4758,14.36,5.94,8,6
USR-00032,Apple TV+,Premium AI-Plus,Real-time Voice Dubbing,Bored,Foldable Phone,Gaming,North America,Medium,88,181,0.0818,30.5,9.32,5,5
USR-00033,YouTube,Standard,Virtual Background Sync,Anxious,Apple Vision Pro,Gaming,Asia Pacific,Low,77,56,0.044,13.03,7.98,2,4
USR-00034,YouTube,Ad-Supported,Personalized Story Ending,Happy,Foldable Phone,Shorts,Middle East & Africa,High,69,135,0.056,3.86,7.16,45,7
USR-00035,YouTube,Premium AI-Plus,Virtual Background Sync,Anxious,AI-Integrated TV,Movies,North America,Low,91,79,0.3152,31.01,9.25,1,1
USR-00036,Netflix,Premium AI-Plus,Real-time Voice Dubbing,Stressed,Smart Glasses,Education,Europe,Low,59,123,0.2039,21.67,6.25,6,3
USR-00037,Netflix,Premium AI-Plus,Personalized Story Ending,Energetic,Apple Vision Pro,Movies,Asia Pacific,Medium,100,67,0.6074,34.7,10.0,1,3
USR-00038,YouTube,Standard,Personalized Story Ending,Energetic,AI-Integrated TV,Shorts,Asia Pacific,Medium,40,60,0.0966,15.62,5.11,20,2
USR-00039,Netflix,Standard,AI-Generated Summary,Energetic,Foldable Phone,Shorts,North America,Medium,61,69,0.0751,12.29,6.59,23,1
USR-00040,TikTok,Standard,Personalized Story Ending,Happy,Foldable Phone,Gaming,Europe,Low,58,101,0.1829,10.78,6.29,3,5
USR-00041,YouTube,Ad-Supported,Mood-Based Playlist,Stressed,Foldable Phone,Gaming,Asia Pacific,Medium,61,202,0.4924,4.7,7.14,6,6
USR-00042,Prime Video,Standard,AI-Generated Summary,Energetic,AI-Integrated TV,Shorts,Asia Pacific,Medium,49,80,0.269,12.6,5.31,27,4
USR-00043,Disney+ AI,Standard,Mood-Based Playlist,Bored,Smart Glasses,Movies,North America,High,73,90,0.3779,12.92,7.71,1,3
USR-00044,YouTube,Standard,AI-Generated Summary,Stressed,Smart Glasses,Movies,North America,Medium,76,116,0.0265,13.77,8.1,1,1
USR-00045,Prime Video,Ad-Supported,Personalized Story Ending,Bored,Foldable Phone,Movies,Europe,Low,60,177,0.2104,3.17,6.81,2,9
USR-00046,Prime Video,Standard,Virtual Background Sync,Stressed,Foldable Phone,Education,North America,High,81,148,0.207,14.05,8.34,7,7
USR-00047,YouTube,Standard,Mood-Based Playlist,Happy,Apple Vision Pro,Movies,Middle East & Africa,Low,45,86,0.216,10.91,5.18,1,5
USR-00048,YouTube,Standard,AI-Generated Summary,Energetic,Foldable Phone,Education,Europe,Medium,21,53,0.3485,13.68,2.13,2,3
USR-00049,TikTok,Premium AI-Plus,AI-Generated Summary,Bored,Foldable Phone,Movies,North America,High,82,171,0.211,21.17,7.89,2,10
USR-00050,Netflix,Standard,Virtual Background Sync,Anxious,Foldable Phone,Education,Latin America,High,70,80,0.3926,15.77,7.1,4,2
USR-00051,Netflix,Ad-Supported,Personalized Story Ending,Energetic,Foldable Phone,Shorts,Europe,Low,69,82,0.5062,3.73,7.15,27,1
USR-00052,Netflix,Ad-Supported,Virtual Background Sync,Energetic,Smart Glasses,Gaming,Europe,High,56,76,0.6197,3.63,5.74,2,2
USR-00053,Disney+ AI,Standard,Mood-Based Playlist,Bored,Foldable Phone,Shorts,North America,High,68,110,0.2444,13.5,7.74,37,3
USR-00054,TikTok,Standard,AI-Generated Summary,Happy,AI-Integrated TV,Gaming,Latin America,High,31,116,0.2938,10.49,2.84,3,5
USR-00055,Disney+ AI,Premium AI-Plus,Mood-Based Playlist,Bored,Foldable Phone,Gaming,Latin America,High,61,150,0.4117,27.94,6.97,4,6
USR-00056,Disney+ AI,Ad-Supported,AI-Generated Summary,Bored,Foldable Phone,Movies,Europe,Low,81,187,0.2614,5.65,8.74,2,6
USR-00057,YouTube,Ad-Supported,Mood-Based Playlist,Bored,Foldable Phone,Education,Europe,High,71,165,0.0921,3.73,7.65,8,5
USR-00058,TikTok,Standard,Mood-Based Playlist,Bored,Foldable Phone,Shorts,Europe,Low,52,179,0.1432,11.76,5.79,60,5
USR-00059,Netflix,Standard,Virtual Background Sync,Anxious,AI-Integrated TV,Movies,North America,Medium,42,79,0.3924,11.35,4.51,1,2
USR-00060,Netflix,Premium AI-Plus,Mood-Based Playlist,Stressed,AI-Integrated TV,Movies,Latin America,Medium,100,174,0.0177,30.75,10.0,2,6
USR-00061,TikTok,Premium AI-Plus,Mood-Based Playlist,Bored,Apple Vision Pro,Shorts,Europe,Medium,95,148,0.5329,20.4,10.0,49,4
USR-00062,YouTube,Standard,AI-Generated Summary,Happy,Apple Vision Pro,Education,Europe,Low,71,89,0.2375,10.08,7.74,4,4
USR-00063,TikTok,Premium AI-Plus,AI-Generated Summary,Anxious,Apple Vision Pro,Gaming,Asia Pacific,Low,66,95,0.1532,26.7,6.57,3,3
USR-00064,Disney+ AI,Ad-Supported,AI-Generated Summary,Bored,Apple Vision Pro,Movies,Latin America,High,81,121,0.5175,3.75,8.34,1,5
USR-00065,TikTok,Standard,Real-time Voice Dubbing,Happy,Foldable Phone,Gaming,Europe,Medium,51,96,0.3014,15.17,5.39,3,5
USR-00066,TikTok,Premium AI-Plus,Virtual Background Sync,Energetic,Smart Glasses,Movies,Asia Pacific,Medium,46,109,0.4573,30.51,4.9,1,5
USR-00067,TikTok,Standard,Real-time Voice Dubbing,Bored,AI-Integrated TV,Movies,Europe,High,31,213,0.4676,9.03,3.19,2,7
USR-00068,YouTube,Premium AI-Plus,Virtual Background Sync,Stressed,Foldable Phone,Gaming,Middle East & Africa,High,85,155,0.1305,23.35,8.92,4,8
USR-00069,Netflix,Ad-Supported,Real-time Voice Dubbing,Stressed,Apple Vision Pro,Movies,North America,Low,66,142,0.4774,3.23,6.82,1,6
USR-00070,YouTube,Ad-Supported,AI-Generated Summary,Stressed,Apple Vision Pro,Shorts,Asia Pacific,Medium,78,108,0.5987,4.9,8.14,36,4
USR-00071,Netflix,Standard,Personalized Story Ending,Anxious,Apple Vision Pro,Movies,Asia Pacific,High,59,77,0.211,13.03,6.41,1,4
USR-00072,YouTube,Premium AI-Plus,Mood-Based Playlist,Bored,Foldable Phone,Movies,Asia Pacific,Medium,98,189,0.3478,32.04,10.0,2,7
USR-00073,Prime Video,Ad-Supported,Personalized Story Ending,Happy,Foldable Phone,Movies,Europe,Low,64,82,0.0266,5.53,6.9,1,1
USR-00074,YouTube,Premium AI-Plus,Personalized Story Ending,Stressed,Foldable Phone,Movies,Middle East & Africa,Low,98,114,0.3426,29.42,10.0,1,5
USR-00075,Netflix,Ad-Supported,AI-Generated Summary,Energetic,Apple Vision Pro,Shorts,Asia Pacific,High,66,79,0.1577,2.0,6.98,26,1
USR-00076,YouTube,Standard,Mood-Based Playlist,Anxious,AI-Integrated TV,Education,North America,Medium,45,86,0.3418,14.83,5.51,4,2
USR-00077,YouTube,Standard,Personalized Story Ending,Stressed,Foldable Phone,Movies,Europe,High,56,161,0.0721,11.99,5.88,2,6
USR-00078,TikTok,Ad-Supported,Virtual Background Sync,Bored,Foldable Phone,Education,Latin America,Medium,75,219,0.0506,1.72,7.79,10,5
USR-00079,TikTok,Standard,AI-Generated Summary,Stressed,Foldable Phone,Gaming,North America,Medium,71,167,0.0418,11.4,7.25,5,5
USR-00080,Disney+ AI,Standard,AI-Generated Summary,Stressed,Apple Vision Pro,Movies,Latin America,High,56,144,0.2059,11.48,6.04,2,4
USR-00081,TikTok,Standard,Virtual Background Sync,Bored,AI-Integrated TV,Movies,Latin America,Medium,50,170,0.3519,14.21,5.38,2,7
USR-00082,YouTube,Ad-Supported,Virtual Background Sync,Bored,AI-Integrated TV,Movies,Europe,High,61,139,0.3712,4.84,5.98,1,4
USR-00083,Prime Video,Ad-Supported,Virtual Background Sync,Energetic,Apple Vision Pro,Gaming,Asia Pacific,Medium,66,102,0.2716,5.87,6.84,3,2
USR-00084,Netflix,Premium AI-Plus,Personalized Story Ending,Energetic,Smart Glasses,Gaming,North America,High,49,85,0.3227,25.35,5.46,2,6
USR-00085,Netflix,Standard,Mood-Based Playlist,Energetic,Foldable Phone,Movies,Asia Pacific,Medium,48,94,0.186,14.48,5.34,1,6
USR-00086,Netflix,Premium AI-Plus,Real-time Voice Dubbing,Stressed,Foldable Phone,Movies,Europe,Medium,100,154,0.5586,22.48,10.0,2,2
USR-00087,Disney+ AI,Standard,Mood-Based Playlist,Happy,AI-Integrated TV,Movies,Asia Pacific,Medium,69,40,0.1148,15.51,7.71,1,1
USR-00088,YouTube,Premium AI-Plus,AI-Generated Summary,Anxious,Foldable Phone,Shorts,Middle East & Africa,High,56,91,0.2646,32.83,5.84,30,4
USR-00089,Netflix,Ad-Supported,Personalized Story Ending,Stressed,AI-Integrated TV,Movies,Europe,High,70,176,0.3876,1.39,8.04,2,7
USR-00090,YouTube,Standard,Personalized Story Ending,Energetic,Smart Glasses,Shorts,Asia Pacific,Medium,46,124,0.1114,13.04,5.42,41,4
USR-00091,Netflix,Standard,Virtual Background Sync,Stressed,Foldable Phone,Shorts,North America,Medium,74,178,0.4697,12.36,7.29,59,7
USR-00092,Disney+ AI,Ad-Supported,Virtual Background Sync,Energetic,Foldable Phone,Gaming,Asia Pacific,Low,42,79,0.2097,0.91,4.47,2,1
USR-00093,YouTube,Ad-Supported,Real-time Voice Dubbing,Happy,AI-Integrated TV,Movies,Europe,Low,68,135,0.5434,4.33,7.16,1,6
USR-00094,YouTube,Standard,AI-Generated Summary,Stressed,Foldable Phone,Shorts,Asia Pacific,High,21,170,0.6287,15.26,2.59,57,6
USR-00095,YouTube,Premium AI-Plus,AI-Generated Summary,Happy,AI-Integrated TV,Shorts,Europe,Medium,100,73,0.0807,27.3,10.0,24,3
USR-00096,TikTok,Standard,AI-Generated Summary,Happy,Apple Vision Pro,Gaming,Asia Pacific,Medium,59,88,0.169,14.58,6.02,3,3
USR-00097,YouTube,Ad-Supported,Mood-Based Playlist,Anxious,Foldable Phone,Shorts,Europe,Medium,53,86,0.044,1.09,5.47,29,4
USR-00098,Netflix,Premium AI-Plus,Personalized Story Ending,Bored,Foldable Phone,Shorts,Europe,Low,60,138,0.3442,34.63,6.95,46,5
USR-00099,Netflix,Ad-Supported,AI-Generated Summary,Energetic,Smart Glasses,Movies,Asia Pacific,Medium,43,57,0.1474,3.84,4.72,1,3
USR-00100,Apple TV+,Ad-Supported,Personalized Story Ending,Happy,AI-Integrated TV,Gaming,Europe,High,65,89,0.0146,4.62,7.47,3,3
USR-00101,Prime Video,Premium AI-Plus,AI-Generated Summary,Happy,Foldable Phone,Shorts,Middle East & Africa,Medium,58,44,0.2498,29.34,6.02,15,1
USR-00102,Disney+ AI,Premium AI-Plus,Mood-Based Playlist,Bored,Foldable Phone,Gaming,Latin America,Medium,98,159,0.3556,22.42,10.0,5,6
USR-00103,YouTube,Premium AI-Plus,Personalized Story Ending,Stressed,Foldable Phone,Gaming,Middle East & Africa,Medium,100,152,0.0531,21.79,10.0,4,4
USR-00104,Apple TV+,Premium AI-Plus,Mood-Based Playlist,Stressed,AI-Integrated TV,Education,Europe,Low,74,150,0.3106,22.36,8.54,7,8
USR-00105,Disney+ AI,Standard,Virtual Background Sync,Stressed,Apple Vision Pro,Education,Asia Pacific,Medium,57,178,0.3022,13.57,5.65,8,8
USR-00106,Disney+ AI,Ad-Supported,Real-time Voice Dubbing,Stressed,Foldable Phone,Movies,Asia Pacific,Low,73,162,0.1786,1.84,7.7,2,5
USR-00107,YouTube,Ad-Supported,Real-time Voice Dubbing,Bored,AI-Integrated TV,Movies,Europe,Medium,76,155,0.496,4.96,8.37,2,4
USR-00108,YouTube,Premium AI-Plus,Virtual Background Sync,Happy,Smart Glasses,Education,Europe,High,100,93,0.0379,28.63,10.0,4,3
USR-00109,Netflix,Premium AI-Plus,Virtual Background Sync,Anxious,AI-Integrated TV,Gaming,Europe,Medium,69,85,0.1733,24.84,7.25,2,3
USR-00110,Prime Video,Standard,AI-Generated Summary,Anxious,AI-Integrated TV,Education,Middle East & Africa,High,51,69,0.0312,9.51,4.69,3,4
USR-00111,YouTube,Standard,Mood-Based Playlist,Anxious,Smart Glasses,Shorts,Middle East & Africa,Low,64,89,0.3005,14.3,6.66,30,5
USR-00112,Netflix,Ad-Supported,Personalized Story Ending,Anxious,Apple Vision Pro,Education,Europe,Medium,28,139,0.4595,0.39,3.56,6,8
USR-00113,YouTube,Ad-Supported,Personalized Story Ending,Bored,AI-Integrated TV,Movies,Asia Pacific,Medium,62,165,0.1451,3.88,7.32,2,6
USR-00114,TikTok,Premium AI-Plus,Personalized Story Ending,Happy,AI-Integrated TV,Shorts,Latin America,Medium,100,95,0.2642,20.44,10.0,32,3
USR-00115,Netflix,Ad-Supported,Virtual Background Sync,Energetic,Smart Glasses,Shorts,North America,Low,80,72,0.1298,4.25,8.04,24,2
USR-00116,Prime Video,Standard,Personalized Story Ending,Happy,AI-Integrated TV,Movies,North America,Low,28,77,0.2814,10.52,3.08,1,2
USR-00117,Disney+ AI,Premium AI-Plus,Personalized Story Ending,Stressed,Smart Glasses,Movies,Latin America,Low,24,140,0.0676,20.78,3.02,1,4
USR-00118,Disney+ AI,Standard,AI-Generated Summary,Anxious,Foldable Phone,Movies,Latin America,High,45,84,0.6671,14.05,4.8,1,4
USR-00119,YouTube,Standard,Personalized Story Ending,Bored,AI-Integrated TV,Movies,Asia Pacific,Low,58,198,0.2071,14.78,6.25,2,6
USR-00120,TikTok,Ad-Supported,AI-Generated Summary,Bored,Foldable Phone,Education,Latin America,Low,76,174,0.3695,3.9,8.3,8,6
USR-00121,TikTok,Ad-Supported,Mood-Based Playlist,Bored,AI-Integrated TV,Education,Latin America,High,69,204,0.2822,0.08,7.35,9,6
USR-00122,TikTok,Ad-Supported,Personalized Story Ending,Stressed,Apple Vision Pro,Education,Latin America,Low,69,165,0.1403,3.24,7.76,8,3
USR-00123,Netflix,Ad-Supported,Mood-Based Playlist,Happy,Foldable Phone,Education,North America,Medium,78,64,0.3233,3.79,8.37,3,3
USR-00124,YouTube,Ad-Supported,Virtual Background Sync,Energetic,AI-Integrated TV,Gaming,North America,Medium,79,89,0.2755,3.61,8.41,3,1
USR-00125,Netflix,Ad-Supported,Virtual Background Sync,Bored,Smart Glasses,Education,Latin America,High,70,138,0.1732,3.23,7.33,6,5
USR-00126,YouTube,Ad-Supported,Mood-Based Playlist,Happy,AI-Integrated TV,Movies,Asia Pacific,High,70,66,0.2563,4.05,7.42,1,1
USR-00127,YouTube,Ad-Supported,Personalized Story Ending,Bored,AI-Integrated TV,Movies,Middle East & Africa,High,53,169,0.15,5.63,6.2,2,9
USR-00128,Netflix,Premium AI-Plus,Real-time Voice Dubbing,Happy,AI-Integrated TV,Education,Asia Pacific,Medium,100,138,0.2456,23.43,10.0,6,8
USR-00129,Netflix,Ad-Supported,AI-Generated Summary,Stressed,AI-Integrated TV,Shorts,Asia Pacific,Low,70,180,0.4354,4.72,7.49,60,4
USR-00130,TikTok,Standard,AI-Generated Summary,Energetic,AI-Integrated TV,Gaming,Europe,High,70,57,0.591,14.03,7.52,2,2
USR-00131,Netflix,Premium AI-Plus,Personalized Story Ending,Energetic,Apple Vision Pro,Shorts,Asia Pacific,High,78,85,0.25,25.42,8.53,28,1
USR-00132,Apple TV+,Ad-Supported,Virtual Background Sync,Happy,Foldable Phone,Movies,Europe,Medium,53,119,0.3511,0.45,5.02,1,2
USR-00133,TikTok,Standard,Mood-Based Playlist,Happy,Foldable Phone,Movies,North America,Medium,28,102,0.1473,15.41,3.29,1,4
USR-00134,YouTube,Premium AI-Plus,Personalized Story Ending,Happy,AI-Integrated TV,Gaming,North America,Medium,48,86,0.278,23.98,5.78,2,1
USR-00135,TikTok,Standard,Virtual Background Sync,Bored,AI-Integrated TV,Shorts,North America,Low,33,117,0.3015,13.1,3.57,39,5
USR-00136,Netflix,Ad-Supported,Personalized Story Ending,Energetic,Smart Glasses,Shorts,North America,Medium,38,57,0.1719,1.7,4.57,19,2
USR-00137,Apple TV+,Standard,AI-Generated Summary,Energetic,AI-Integrated TV,Shorts,Europe,High,69,83,0.4447,15.71,7.32,28,3
USR-00138,YouTube,Standard,AI-Generated Summary,Bored,Foldable Phone,Shorts,Europe,High,33,208,0.3641,12.22,3.37,69,6
USR-00139,Disney+ AI,Standard,Real-time Voice Dubbing,Stressed,AI-Integrated TV,Shorts,Latin America,Low,64,215,0.1475,12.65,6.67,72,5
USR-00140,Netflix,Ad-Supported,Real-time Voice Dubbing,Anxious,Foldable Phone,Gaming,Latin America,Medium,76,73,0.0347,0.63,7.98,2,4
USR-00141,YouTube,Ad-Supported,Personalized Story Ending,Happy,Foldable Phone,Shorts,Middle East & Africa,Low,70,112,0.1195,1.34,7.11,37,4
USR-00142,YouTube,Premium AI-Plus,AI-Generated Summary,Energetic,AI-Integrated TV,Education,Middle East & Africa,Low,74,65,0.3977,23.29,7.5,3,2
USR-00143,Apple TV+,Ad-Supported,Real-time Voice Dubbing,Anxious,Foldable Phone,Shorts,North America,Low,38,104,0.1291,1.41,4.24,35,2
USR-00144,TikTok,Ad-Supported,Mood-Based Playlist,Bored,AI-Integrated TV,Education,Europe,Low,70,87,0.133,3.98,7.52,4,4
USR-00145,YouTube,Standard,AI-Generated Summary,Stressed,AI-Integrated TV,Gaming,Europe,High,34,121,0.4396,11.0,2.95,3,4
USR-00146,YouTube,Premium AI-Plus,Virtual Background Sync,Energetic,AI-Integrated TV,Education,Middle East & Africa,High,35,57,0.339,30.87,3.44,3,2
USR-00147,YouTube,Ad-Supported,Virtual Background Sync,Bored,AI-Integrated TV,Gaming,Middle East & Africa,High,50,110,0.1452,5.92,5.22,3,5
USR-00148,TikTok,Ad-Supported,Real-time Voice Dubbing,Anxious,AI-Integrated TV,Shorts,Asia Pacific,Medium,58,94,0.3089,1.71,6.18,31,5
USR-00149,YouTube,Standard,AI-Generated Summary,Energetic,Apple Vision Pro,Shorts,Asia Pacific,High,40,61,0.2607,15.83,3.84,20,4
USR-00150,Netflix,Standard,Mood-Based Playlist,Stressed,Foldable Phone,Shorts,Latin America,High,94,136,0.3051,13.78,10.0,45,4
USR-00151,Prime Video,Standard,Real-time Voice Dubbing,Stressed,Apple Vision Pro,Movies,Europe,Medium,63,164,0.0264,9.15,6.22,2,5
USR-00152,Prime Video,Premium AI-Plus,Personalized Story Ending,Anxious,Foldable Phone,Movies,Middle East & Africa,Low,68,52,0.1742,26.15,7.54,1,4
USR-00153,Netflix,Ad-Supported,Mood-Based Playlist,Energetic,AI-Integrated TV,Movies,Latin America,Low,87,52,0.2923,3.0,8.86,1,2
USR-00154,TikTok,Ad-Supported,Mood-Based Playlist,Anxious,AI-Integrated TV,Gaming,Europe,Medium,86,100,0.1282,4.25,8.53,3,1
USR-00155,Netflix,Standard,Virtual Background Sync,Energetic,Foldable Phone,Movies,Asia Pacific,Medium,40,100,0.2239,12.62,4.04,1,2
USR-00156,TikTok,Ad-Supported,Mood-Based Playlist,Happy,AI-Integrated TV,Shorts,Europe,Low,74,119,0.3038,1.58,8.07,40,3
USR-00157,YouTube,Standard,AI-Generated Summary,Energetic,Apple Vision Pro,Movies,Europe,Medium,61,117,0.121,12.81,6.05,1,6
USR-00158,TikTok,Premium AI-Plus,Virtual Background Sync,Stressed,AI-Integrated TV,Movies,Asia Pacific,High,100,125,0.2095,27.31,10.0,1,6
USR-00159,Disney+ AI,Ad-Supported,Personalized Story Ending,Bored,Smart Glasses,Shorts,Latin America,Low,55,160,0.0465,0.16,6.56,53,3
USR-00160,Disney+ AI,Standard,Mood-Based Playlist,Anxious,Apple Vision Pro,Education,Europe,Medium,45,130,0.1586,9.39,4.6,6,5
USR-00161,Netflix,Ad-Supported,Personalized Story Ending,Happy,Apple Vision Pro,Shorts,Europe,High,50,109,0.4269,1.28,5.7,36,3
USR-00162,Prime Video,Standard,AI-Generated Summary,Happy,AI-Integrated TV,Education,Asia Pacific,Medium,49,58,0.2686,12.64,5.28,3,1
USR-00163,YouTube,Standard,Personalized Story Ending,Bored,Foldable Phone,Movies,Asia Pacific,Low,84,171,0.1027,15.84,9.25,2,6
USR-00164,Netflix,Standard,Virtual Background Sync,Anxious,Foldable Phone,Shorts,Europe,Medium,27,67,0.7354,14.15,2.78,22,3
USR-00165,TikTok,Ad-Supported,Real-time Voice Dubbing,Bored,Foldable Phone,Movies,Europe,High,64,170,0.2271,0.13,6.98,2,5
USR-00166,YouTube,Premium AI-Plus,Virtual Background Sync,Bored,Apple Vision Pro,Movies,Middle East & Africa,Low,70,188,0.3997,21.54,7.4,2,6
USR-00167,Prime Video,Premium AI-Plus,AI-Generated Summary,Stressed,Apple Vision Pro,Movies,North America,Low,100,169,0.2552,32.79,9.96,2,4
USR-00168,Prime Video,Premium AI-Plus,AI-Generated Summary,Anxious,Apple Vision Pro,Movies,Middle East & Africa,Medium,55,79,0.2505,25.25,6.05,1,5
USR-00169,YouTube,Premium AI-Plus,Real-time Voice Dubbing,Happy,Foldable Phone,Gaming,Middle East & Africa,Medium,74,42,0.4919,32.91,8.21,1,2
USR-00170,Apple TV+,Ad-Supported,Personalized Story Ending,Stressed,Smart Glasses,Gaming,Asia Pacific,High,41,143,0.1437,4.49,4.9,4,5
USR-00171,YouTube,Standard,Virtual Background Sync,Energetic,Foldable Phone,Movies,Middle East & Africa,High,94,89,0.1982,10.46,9.27,1,3
USR-00172,TikTok,Ad-Supported,Mood-Based Playlist,Stressed,Foldable Phone,Education,Europe,High,39,111,0.3683,1.47,5.1,5,4
USR-00173,YouTube,Premium AI-Plus,Virtual Background Sync,Energetic,Foldable Phone,Gaming,North America,Low,64,76,0.4185,33.89,6.36,2,2
USR-00174,Apple TV+,Ad-Supported,Personalized Story Ending,Bored,AI-Integrated TV,Movies,Asia Pacific,High,44,140,0.2052,4.14,5.56,1,4
USR-00175,Netflix,Ad-Supported,Real-time Voice Dubbing,Energetic,Apple Vision Pro,Shorts,Latin America,Medium,59,75,0.2908,0.14,6.83,25,4
USR-00176,Netflix,Standard,Mood-Based Playlist,Bored,Foldable Phone,Movies,Latin America,Medium,71,138,0.6944,10.63,7.38,1,4
USR-00177,YouTube,Ad-Supported,Virtual Background Sync,Happy,Apple Vision Pro,Gaming,Asia Pacific,Medium,83,34,0.2538,5.24,8.61,1,3
USR-00178,Apple TV+,Standard,Mood-Based Playlist,Energetic,AI-Integrated TV,Shorts,Asia Pacific,Medium,74,71,0.1981,14.57,7.77,24,1
