Platform,Subscription_Tier,AI_Feature_Used,User_Mood_Pre_Watch,Device_Type,Content_Type,Region,Data_Privacy_Setting,Engagement_Score,Daily_Viewing_Time_Min,Churn_Risk_Probability,Monthly_Subscription_Cost_USD,AI_Feature_Satisfaction,Content_Items_Watched,Weekly_Sessions
Netflix,Standard,Real-time Voice Dubbing,Energetic,Foldable Phone,Shorts,Latin America,Low,99,39,0.1388,21.37,9.28,41,6
TikTok,Standard,AI-Generated Summary,Bored,Smart Glasses,Shorts,Europe,Medium,76,133,0.2753,10.69,8.97,1,7
YouTube,Standard,Real-time Voice Dubbing,Anxious,Apple Vision Pro,Movies,Europe,High,100,39,0.3584,22.95,6.67,1,3
YouTube,Standard,AI-Generated Summary,Stressed,Foldable Phone,Movies,Asia Pacific,High,54,203,0.3895,0.83,8.07,1,6
TikTok,Standard,AI-Generated Summary,Happy,Apple Vision Pro,Education,North America,High,40,112,0.2705,13.93,10.0,1,6
Prime Video,Ad-Supported,Real-time Voice Dubbing,Stressed,AI-Integrated TV,Shorts,North America,Medium,26,95,0.2218,0.0,9.81,2,1
YouTube,Premium AI-Plus,Virtual Background Sync,Happy,Foldable Phone,Movies,Europe,High,76,176,0.2145,7.99,7.14,2,5
Disney+ AI,Standard,Virtual Background Sync,Bored,Foldable Phone,Movies,Middle East & Africa,Low,86,126,0.1902,14.35,6.32,2,5
YouTube,Standard,Mood-Based Playlist,Happy,Apple Vision Pro,Shorts,Latin America,Medium,87,107,0.0675,24.98,2.8,1,5
Prime Video,Standard,AI-Generated Summary,Anxious,Foldable Phone,Movies,Asia Pacific,Low,44,82,0.018,10.57,7.38,2,6
Apple TV+,Standard,AI-Generated Summary,Energetic,Foldable Phone,Movies,Europe,Low,68,211,0.1532,16.74,9.3,1,6
Disney+ AI,Standard,Mood-Based Playlist,Happy,AI-Integrated TV,Movies,Middle East & Africa,Medium,20,101,0.0955,20.04,7.94,44,4
Prime Video,Ad-Supported,Virtual Background Sync,Energetic,Foldable Phone,Gaming,North America,Low,70,197,0.3453,34.99,8.3,70,6
Prime Video,Ad-Supported,Real-time Voice Dubbing,Bored,AI-Integrated TV,Education,Asia Pacific,Medium,67,240,0.2563,14.3,8.32,1,4
Prime Video,Ad-Supported,Mood-Based Playlist,Anxious,Foldable Phone,Shorts,Europe,High,47,201,0.3711,8.92,8.92,1,7
Disney+ AI,Standard,Real-time Voice Dubbing,Happy,Foldable Phone,Education,Asia Pacific,Medium,91,94,0.0768,3.09,10.0,59,6
YouTube,Standard,Mood-Based Playlist,Bored,Apple Vision Pro,Shorts,Middle East & Africa,Medium,57,181,0.6047,13.55,8.76,2,1
YouTube,Standard,Mood-Based Playlist,Happy,Smart Glasses,Education,North America,Low,68,226,0.2338,13.99,7.0,1,6
Disney+ AI,Premium AI-Plus,Mood-Based Playlist,Bored,Foldable Phone,Shorts,Middle East & Africa,Low,79,128,0.0214,14.87,8.23,34,5
Netflix,Standard,Personalized Story Ending,Bored,Foldable Phone,Shorts,Europe,Low,79,221,0.1875,13.86,10.0,21,6
TikTok,Ad-Supported,Mood-Based Playlist,Anxious,Foldable Phone,Movies,Latin America,Low,45,259,0.218,20.75,7.03,1,5
YouTube,Premium AI-Plus,Virtual Background Sync,Energetic,Foldable Phone,Education,North America,Low,57,130,0.1301,8.15,9.56,60,1
YouTube,Ad-Supported,AI-Generated Summary,Bored,Foldable Phone,Education,Middle East & Africa,Medium,96,218,0.1565,15.63,9.22,16,1
YouTube,Standard,Personalized Story Ending,Happy,Smart Glasses,Shorts,North America,Low,100,104,0.088,1.77,7.02,1,4
Apple TV+,Standard,Personalized Story Ending,Stressed,AI-Integrated TV,Shorts,Middle East & Africa,Low,72,69,0.0512,12.78,6.38,2,2
Disney+ AI,Standard,Real-time Voice Dubbing,Anxious,Smart Glasses,Education,Europe,Low,73,143,0.3714,13.43,8.62,1,5
Netflix,Premium AI-Plus,Mood-Based Playlist,Happy,Apple Vision Pro,Gaming,Middle East & Africa,Low,36,129,0.171,4.99,6.83,51,2
Netflix,Premium AI-Plus,AI-Generated Summary,Happy,Foldable Phone,Movies,North America,Low,95,106,0.0073,21.76,7.08,1,2
YouTube,Ad-Supported,Real-time Voice Dubbing,Stressed,Smart Glasses,Movies,North America,High,87,117,0.123,16.75,8.82,3,6
Netflix,Ad-Supported,Virtual Background Sync,Bored,Foldable Phone,Movies,Middle East & Africa,Low,71,174,0.187,33.36,9.16,1,5
Apple TV+,Premium AI-Plus,Real-time Voice Dubbing,Bored,Apple Vision Pro,Shorts,Europe,High,97,213,0.168,10.9,8.55,2,5
Disney+ AI,Standard,Mood-Based Playlist,Bored,Smart Glasses,Gaming,Europe,Medium,50,199,0.7631,14.67,10.0,46,5
Netflix,Premium AI-Plus,Real-time Voice Dubbing,Stressed,Smart Glasses,Education,North America,Medium,83,138,0.5652,12.93,9.39,1,1
Prime Video,Ad-Supported,Mood-Based Playlist,Happy,AI-Integrated TV,Shorts,Middle East & Africa,High,21,219,0.8342,28.6,6.21,3,5
Prime Video,Premium AI-Plus,Mood-Based Playlist,Happy,AI-Integrated TV,Shorts,Middle East & Africa,Low,67,124,0.3853,1.6,9.56,1,2
YouTube,Standard,Mood-Based Playlist,Anxious,Apple Vision Pro,Movies,North America,Low,42,47,0.213,2.74,6.95,1,7
TikTok,Standard,AI-Generated Summary,Stressed,Smart Glasses,Movies,Asia Pacific,Low,56,104,0.2789,7.55,6.79,2,5
YouTube,Standard,Personalized Story Ending,Happy,Smart Glasses,Shorts,Asia Pacific,Medium,64,101,0.1257,18.31,9.21,2,5
YouTube,Standard,AI-Generated Summary,Energetic,Foldable Phone,Shorts,Middle East & Africa,Medium,100,140,0.143,14.14,1.0,2,5
YouTube,Standard,Virtual Background Sync,Anxious,Foldable Phone,Education,North America,Low,92,161,0.0512,14.62,6.97,8,5
Prime Video,Standard,Mood-Based Playlist,Anxious,AI-Integrated TV,Movies,Europe,High,73,60,0.3197,13.97,7.81,1,5
Netflix,Standard,Mood-Based Playlist,Happy,Foldable Phone,Gaming,Middle East & Africa,High,94,220,0.1589,31.81,7.51,7,1
Prime Video,Premium AI-Plus,AI-Generated Summary,Stressed,Apple Vision Pro,Gaming,Latin America,Low,77,89,0.2253,23.82,7.43,1,5
Prime Video,Standard,AI-Generated Summary,Energetic,Apple Vision Pro,Gaming,Middle East & Africa,Medium,24,69,0.0878,0.29,10.0,45,1
YouTube,Ad-Supported,Mood-Based Playlist,Happy,Foldable Phone,Gaming,Middle East & Africa,High,79,166,0.0025,10.33,6.8,7,7
Disney+ AI,Premium AI-Plus,AI-Generated Summary,Energetic,Apple Vision Pro,Shorts,North America,Low,94,63,0.1727,15.48,8.48,19,4
TikTok,Standard,Virtual Background Sync,Energetic,Apple Vision Pro,Gaming,Asia Pacific,High,100,111,0.246,2.05,10.0,1,5
YouTube,Ad-Supported,AI-Generated Summary,Energetic,AI-Integrated TV,Education,Latin America,Medium,69,132,0.2967,6.92,8.97,1,6
YouTube,Premium AI-Plus,Personalized Story Ending,Bored,Apple Vision Pro,Gaming,Europe,Medium,67,174,0.0633,15.06,9.38,1,5
YouTube,Ad-Supported,Personalized Story Ending,Happy,Foldable Phone,Gaming,Latin America,Low,91,113,0.2649,4.59,8.15,1,4
YouTube,Standard,AI-Generated Summary,Happy,Smart Glasses,Shorts,North America,High,75,105,0.0061,0.95,6.57,1,5
YouTube,Standard,AI-Generated Summary,Energetic,Smart Glasses,Shorts,Asia Pacific,Low,73,124,0.1946,34.29,9.63,1,2
YouTube,Standard,AI-Generated Summary,Anxious,Smart Glasses,Shorts,Europe,Low,65,108,0.1498,29.51,7.34,1,4
Prime Video,Standard,Virtual Background Sync,Stressed,AI-Integrated TV,Movies,Europe,Low,91,113,0.3002,11.99,8.39,28,5
YouTube,Ad-Supported,Mood-Based Playlist,Happy,AI-Integrated TV,Shorts,Middle East & Africa,Medium,26,60,0.1439,11.9,4.52,2,5
Apple TV+,Ad-Supported,AI-Generated Summary,Stressed,Smart Glasses,Movies,Europe,Low,45,157,0.3762,21.38,6.93,1,3
Disney+ AI,Standard,Real-time Voice Dubbing,Happy,Foldable Phone,Gaming,North America,Medium,74,91,0.4039,33.12,8.48,1,2
Netflix,Standard,Real-time Voice Dubbing,Bored,Foldable Phone,Movies,North America,Low,62,197,0.0332,25.87,9.04,1,5
TikTok,Premium AI-Plus,Virtual Background Sync,Energetic,Smart Glasses,Shorts,Middle East & Africa,Medium,24,202,0.2348,12.28,7.37,2,1
Netflix,Standard,Real-time Voice Dubbing,Energetic,AI-Integrated TV,Shorts,Europe,Medium,65,102,0.1755,1.96,8.63,1,5
YouTube,Ad-Supported,Virtual Background Sync,Bored,Foldable Phone,Movies,Middle East & Africa,Low,47,52,0.3753,27.21,7.07,1,6
Disney+ AI,Standard,AI-Generated Summary,Happy,Foldable Phone,Shorts,Middle East & Africa,High,96,122,0.3557,17.29,8.12,1,2
YouTube,Standard,Mood-Based Playlist,Anxious,Apple Vision Pro,Shorts,Middle East & Africa,Low,37,149,0.1895,13.15,8.85,1,6
Netflix,Standard,Real-time Voice Dubbing,Happy,Apple Vision Pro,Gaming,North America,High,75,135,0.0643,10.69,8.22,3,5
YouTube,Standard,Mood-Based Playlist,Bored,AI-Integrated TV,Shorts,Middle East & Africa,Low,61,127,0.213,21.42,7.89,1,4
TikTok,Standard,AI-Generated Summary,Stressed,Smart Glasses,Education,North America,High,81,92,0.3454,17.0,9.36,26,6
Prime Video,Premium AI-Plus,Virtual Background Sync,Bored,Foldable Phone,Movies,Middle East & Africa,Low,74,179,0.2633,30.53,9.15,1,5
Netflix,Ad-Supported,Real-time Voice Dubbing,Anxious,Apple Vision Pro,Education,North America,Low,35,108,0.088,11.95,8.55,43,1
Disney+ AI,Standard,Personalized Story Ending,Bored,Foldable Phone,Shorts,Europe,Medium,88,106,0.2171,11.52,10.0,1,6
Netflix,Ad-Supported,AI-Generated Summary,Energetic,Foldable Phone,Shorts,North America,Low,98,206,0.2749,13.6,7.85,2,5
YouTube,Ad-Supported,AI-Generated Summary,Happy,Apple Vision Pro,Education,Asia Pacific,Low,88,170,0.3006,8.88,8.64,2,5
TikTok,Standard,Virtual Background Sync,Energetic,AI-Integrated TV,Shorts,Middle East & Africa,Low,81,56,0.3128,4.9,8.96,5,5
Prime Video,Premium AI-Plus,Real-time Voice Dubbing,Energetic,AI-Integrated TV,Shorts,Middle East & Africa,Low,83,66,0.0084,13.61,10.0,3,6
Prime Video,Premium AI-Plus,Virtual Background Sync,Bored,Apple Vision Pro,Education,Asia Pacific,Low,58,156,0.1665,10.38,7.7,2,1
TikTok,Premium AI-Plus,AI-Generated Summary,Bored,Smart Glasses,Shorts,Asia Pacific,High,100,228,0.2187,2.25,8.92,3,7
YouTube,Standard,Virtual Background Sync,Stressed,Foldable Phone,Shorts,Latin America,High,77,83,0.4992,15.03,7.73,1,4
TikTok,Ad-Supported,Personalized Story Ending,Anxious,AI-Integrated TV,Movies,Middle East & Africa,High,70,192,0.0294,14.69,8.05,1,3
Prime Video,Standard,AI-Generated Summary,Bored,Foldable Phone,Shorts,Europe,Medium,76,96,0.2888,34.99,7.25,2,5
Disney+ AI,Standard,Real-time Voice Dubbing,Anxious,Smart Glasses,Shorts,North America,Medium,39,133,0.1082,5.86,8.2,29,1
YouTube,Standard,Mood-Based Playlist,Happy,Smart Glasses,Shorts,Latin America,Low,40,115,0.3051,4.65,4.75,1,2
YouTube,Standard,AI-Generated Summary,Happy,AI-Integrated TV,Shorts,Latin America,High,60,133,0.4776,19.27,6.93,1,6
Prime Video,Standard,Virtual Background Sync,Energetic,Foldable Phone,Shorts,Middle East & Africa,Low,65,72,0.0066,15.26,8.95,1,5
YouTube,Standard,Real-time Voice Dubbing,Anxious,AI-Integrated TV,Shorts,Asia Pacific,High,72,209,0.0194,22.8,10.0,1,1
YouTube,Ad-Supported,Personalized Story Ending,Bored,Foldable Phone,Education,Europe,Medium,76,109,0.1564,7.51,10.0,2,5
Apple TV+,Standard,Mood-Based Playlist,Happy,AI-Integrated TV,Shorts,Middle East & Africa,High,87,194,0.1149,14.7,7.31,1,4
YouTube,Premium AI-Plus,AI-Generated Summary,Bored,Smart Glasses,Movies,North America,Low,81,198,0.104,17.05,9.38,4,4
Netflix,Standard,Real-time Voice Dubbing,Anxious,Smart Glasses,Education,Asia Pacific,Medium,98,145,0.275,5.63,7.42,3,7
TikTok,Standard,Virtual Background Sync,Happy,Foldable Phone,Movies,Asia Pacific,Medium,83,53,0.253,0.0,8.16,4,1
YouTube,Standard,Mood-Based Playlist,Anxious,Foldable Phone,Movies,Latin America,Low,67,187,0.1476,17.01,4.87,1,3
Netflix,Standard,Virtual Background Sync,Anxious,Foldable Phone,Movies,Europe,Medium,73,77,0.0679,2.85,5.66,4,4
Prime Video,Standard,Mood-Based Playlist,Stressed,Foldable Phone,Shorts,Europe,High,47,118,0.5627,3.63,7.52,1,6
Apple TV+,Premium AI-Plus,Virtual Background Sync,Bored,Foldable Phone,Gaming,North America,Low,62,223,0.2082,13.59,9.56,1,3
YouTube,Standard,Mood-Based Playlist,Happy,Foldable Phone,Shorts,North America,High,74,86,0.2873,29.95,6.12,3,1
Netflix,Ad-Supported,AI-Generated Summary,Energetic,AI-Integrated TV,Gaming,Latin America,Low,86,187,0.2827,10.9,10.0,4,1
YouTube,Ad-Supported,AI-Generated Summary,Energetic,AI-Integrated TV,Movies,Middle East & Africa,Low,81,184,0.3585,31.31,5.72,1,1
YouTube,Standard,Virtual Background Sync,Anxious,Foldable Phone,Shorts,Europe,Low,12,147,0.1444,14.57,8.66,2,3
Prime Video,Premium AI-Plus,AI-Generated Summary,Happy,Foldable Phone,Education,Latin America,High,78,76,0.2072,9.19,10.0,1,6
YouTube,Standard,Mood-Based Playlist,Bored,AI-Integrated TV,Shorts,Asia Pacific,Low,62,241,0.1775,15.83,9.68,81,6
Disney+ AI,Standard,AI-Generated Summary,Bored,Foldable Phone,Education,Europe,High,88,116,0.2443,8.43,6.2,1,1
YouTube,Standard,AI-Generated Summary,Happy,Apple Vision Pro,Shorts,Latin America,Low,97,230,0.1304,12.61,8.93,2,6
Disney+ AI,Ad-Supported,AI-Generated Summary,Energetic,AI-Integrated TV,Movies,Middle East & Africa,Low,46,110,0.4341,13.71,8.66,1,5
TikTok,Ad-Supported,Virtual Background Sync,Energetic,Apple Vision Pro,Movies,Latin America,High,44,62,0.4598,0.0,4.29,3,1
Prime Video,Standard,Virtual Background Sync,Energetic,Foldable Phone,Movies,Asia Pacific,Medium,63,99,0.2252,2.71,9.02,2,6
TikTok,Ad-Supported,Personalized Story Ending,Bored,AI-Integrated TV,Shorts,Asia Pacific,Medium,100,234,0.0983,16.14,8.94,21,6
YouTube,Standard,Virtual Background Sync,Bored,Apple Vision Pro,Movies,Middle East & Africa,Low,86,63,0.2116,0.89,10.0,1,4
Netflix,Premium AI-Plus,AI-Generated Summary,Stressed,Smart Glasses,Gaming,Asia Pacific,High,61,223,0.0025,0.57,7.91,1,5
TikTok,Premium AI-Plus,Mood-Based Playlist,Happy,Smart Glasses,Education,Europe,Low,77,118,0.1902,19.01,6.28,1,1
YouTube,Standard,AI-Generated Summary,Anxious,Foldable Phone,Movies,Latin America,High,90,277,0.111,33.23,8.32,23,5
TikTok,Standard,Personalized Story Ending,Energetic,Apple Vision Pro,Gaming,North America,Low,61,111,0.0366,14.99,10.0,2,1
YouTube,Standard,Mood-Based Playlist,Happy,Foldable Phone,Gaming,Middle East & Africa,High,42,73,0.1172,22.45,8.16,1,1
Netflix,Ad-Supported,Virtual Background Sync,Happy,Apple Vision Pro,Education,North America,Low,56,118,0.1449,13.06,7.33,2,2
Prime Video,Standard,Personalized Story Ending,Anxious,AI-Integrated TV,Education,Europe,Medium,86,214,0.5379,8.01,4.25,1,5
Apple TV+,Premium AI-Plus,Virtual Background Sync,Anxious,AI-Integrated TV,Gaming,North America,Low,51,117,0.3327,33.93,10.0,1,4
YouTube,Standard,Mood-Based Playlist,Stressed,Foldable Phone,Movies,Asia Pacific,Low,32,58,0.3008,20.67,9.89,1,5
Apple TV+,Standard,Mood-Based Playlist,Bored,Foldable Phone,Gaming,Middle East & Africa,Medium,64,36,0.0459,9.61,9.38,1,1
YouTube,Standard,AI-Generated Summary,Energetic,AI-Integrated TV,Gaming,North America,Low,73,111,0.0723,10.84,1.97,3,5
Netflix,Premium AI-Plus,Real-time Voice Dubbing,Happy,Foldable Phone,Movies,North America,High,99,130,0.3632,8.58,10.0,1,3
Netflix,Standard,Real-time Voice Dubbing,Anxious,Apple Vision Pro,Movies,Asia Pacific,High,88,5,0.2187,2.5,10.0,2,2
YouTube,Standard,AI-Generated Summary,Bored,Foldable Phone,Gaming,Europe,Low,91,118,0.2259,34.99,7.53,34,6
Prime Video,Standard,Personalized Story Ending,Anxious,Apple Vision Pro,Movies,Asia Pacific,Medium,66,28,0.0258,7.62,9.36,2,5
Netflix,Standard,Personalized Story Ending,Energetic,Apple Vision Pro,Gaming,Europe,Low,53,132,0.1428,9.77,5.18,55,5
Netflix,Standard,Virtual Background Sync,Anxious,Smart Glasses,Education,Middle East & Africa,Low,64,239,0.0918,14.31,9.2,1,1
Netflix,Ad-Supported,Virtual Background Sync,Bored,Foldable Phone,Movies,Europe,Low,64,105,0.3266,21.4,7.32,1,4
TikTok,Standard,Virtual Background Sync,Anxious,AI-Integrated TV,Movies,Europe,Medium,60,76,0.1772,14.41,6.88,27,6
TikTok,Standard,Mood-Based Playlist,Bored,Foldable Phone,Education,Asia Pacific,Medium,100,97,0.1438,28.12,6.56,9,3
Apple TV+,Standard,Mood-Based Playlist,Stressed,AI-Integrated TV,Gaming,Europe,High,52,101,0.3053,20.65,7.8,1,7
YouTube,Standard,AI-Generated Summary,Stressed,Apple Vision Pro,Movies,Latin America,Medium,72,158,0.1211,4.78,6.66,1,6
YouTube,Ad-Supported,AI-Generated Summary,Happy,Foldable Phone,Shorts,Asia Pacific,High,82,160,0.1402,10.3,8.28,29,3
Disney+ AI,Premium AI-Plus,Real-time Voice Dubbing,Bored,Apple Vision Pro,Education,Asia Pacific,Medium,100,124,0.1069,4.69,9.91,1,5
TikTok,Standard,Mood-Based Playlist,Bored,Apple Vision Pro,Gaming,Asia Pacific,Medium,93,148,0.0599,13.96,4.99,1,6
Disney+ AI,Premium AI-Plus,AI-Generated Summary,Stressed,Foldable Phone,Movies,North America,Low,89,134,0.4869,32.06,7.16,1,3
YouTube,Premium AI-Plus,Mood-Based Playlist,Stressed,Smart Glasses,Gaming,Latin America,High,50,90,0.2809,10.94,9.39,1,5
Netflix,Standard,Mood-Based Playlist,Energetic,Foldable Phone,Movies,North America,Low,46,184,0.1229,20.11,7.9,2,5
Netflix,Ad-Supported,Real-time Voice Dubbing,Energetic,Foldable Phone,Movies,North America,High,64,159,0.1442,13.6,9.0,1,1
TikTok,Standard,Personalized Story Ending,Stressed,Apple Vision Pro,Education,Asia Pacific,Low,100,158,0.1545,33.62,9.98,3,1
TikTok,Standard,AI-Generated Summary,Anxious,Foldable Phone,Shorts,Europe,Low,98,124,0.2862,10.35,9.44,1,6
YouTube,Ad-Supported,Mood-Based Playlist,Happy,Foldable Phone,Gaming,Europe,Low,72,209,0.4029,8.52,8.96,1,1
TikTok,Standard,Mood-Based Playlist,Bored,AI-Integrated TV,Shorts,Europe,High,58,139,0.4277,6.66,8.32,3,5
TikTok,Premium AI-Plus,Virtual Background Sync,Energetic,Apple Vision Pro,Shorts,Europe,Medium,52,127,0.4574,14.15,9.22,3,6
Apple TV+,Premium AI-Plus,Virtual Background Sync,Bored,Foldable Phone,Gaming,Europe,High,57,123,0.5369,9.2,8.28,2,5
YouTube,Ad-Supported,AI-Generated Summary,Energetic,Foldable Phone,Education,Europe,High,90,178,0.4881,27.71,1.68,1,1
Prime Video,Standard,Virtual Background Sync,Anxious,Foldable Phone,Gaming,Europe,High,100,223,0.0478,20.51,10.0,4,1
TikTok,Standard,Virtual Background Sync,Stressed,Smart Glasses,Shorts,Asia Pacific,High,95,145,0.3531,2.2,9.54,2,1
YouTube,Standard,Personalized Story Ending,Anxious,AI-Integrated TV,Shorts,Asia Pacific,Low,70,173,0.2967,13.4,8.64,71,6
Disney+ AI,Standard,Personalized Story Ending,Happy,Foldable Phone,Shorts,North America,Medium,86,172,0.2592,3.69,7.04,2,4
Netflix,Standard,AI-Generated Summary,Anxious,Foldable Phone,Gaming,Latin America,Low,36,268,0.1972,26.0,9.53,3,3
TikTok,Ad-Supported,Mood-Based Playlist,Happy,Apple Vision Pro,Gaming,Latin America,Low,72,128,0.2026,12.02,6.17,2,5
YouTube,Standard,AI-Generated Summary,Stressed,Smart Glasses,Movies,Asia Pacific,Medium,11,14,0.045,32.35,7.22,1,5
YouTube,Ad-Supported,Mood-Based Playlist,Energetic,AI-Integrated TV,Shorts,Europe,Low,75,173,0.1141,11.39,8.54,1,6
YouTube,Standard,Mood-Based Playlist,Bored,Smart Glasses,Shorts,Asia Pacific,High,58,204,0.0429,28.31,8.01,1,1
Prime Video,Standard,Personalized Story Ending,Bored,AI-Integrated TV,Shorts,Europe,High,98,141,0.2253,34.27,8.18,2,6
Netflix,Premium AI-Plus,Virtual Background Sync,Energetic,Foldable Phone,Shorts,Middle East & Africa,Medium,66,88,0.3054,11.98,9.32,36,6
YouTube,Standard,Mood-Based Playlist,Happy,Foldable Phone,Movies,Middle East & Africa,Medium,79,59,0.5678,17.92,2.43,1,5
TikTok,Ad-Supported,Mood-Based Playlist,Anxious,Foldable Phone,Shorts,Latin America,High,85,100,0.4566,15.19,7.67,1,3
YouTube,Standard,Personalized Story Ending,Happy,Apple Vision Pro,Gaming,Europe,Medium,75,127,0.1755,7.97,7.59,2,2
Apple TV+,Ad-Supported,Real-time Voice Dubbing,Stressed,AI-Integrated TV,Gaming,North America,High,77,90,0.0025,10.17,10.0,1,1
YouTube,Standard,Real-time Voice Dubbing,Energetic,Smart Glasses,Education,Asia Pacific,Medium,91,62,0.3994,20.39,8.28,1,5
Netflix,Ad-Supported,Real-time Voice Dubbing,Energetic,Foldable Phone,Shorts,Asia Pacific,Low,86,186,0.543,2.78,10.0,26,1
YouTube,Ad-Supported,Personalized Story Ending,Energetic,Foldable Phone,Gaming,Europe,High,88,234,0.0998,16.53,8.52,2,7
Prime Video,Premium AI-Plus,Virtual Background Sync,Energetic,Foldable Phone,Shorts,Latin America,Low,85,186,0.17,24.92,9.07,1,5
YouTube,Premium AI-Plus,Mood-Based Playlist,Bored,Foldable Phone,Shorts,Asia Pacific,High,68,265,0.4421,7.94,10.0,1,2
Disney+ AI,Ad-Supported,Real-time Voice Dubbing,Happy,Foldable Phone,Education,Latin America,High,96,25,0.1161,12.06,8.66,11,5
YouTube,Standard,Real-time Voice Dubbing,Anxious,AI-Integrated TV,Movies,Europe,Medium,72,101,0.2845,16.62,7.09,1,1
YouTube,Premium AI-Plus,Mood-Based Playlist,Anxious,Foldable Phone,Gaming,Europe,Low,100,177,0.473,15.23,8.21,1,5
Prime Video,Premium AI-Plus,Personalized Story Ending,Energetic,Smart Glasses,Shorts,Asia Pacific,Low,69,107,0.1804,8.93,9.81,1,2
Netflix,Premium AI-Plus,AI-Generated Summary,Bored,Foldable Phone,Movies,Europe,Medium,96,231,0.1583,0.0,9.22,33,6
Netflix,Premium AI-Plus,AI-Generated Summary,Energetic,Foldable Phone,Movies,Asia Pacific,Low,70,224,0.0025,11.28,9.26,1,1
