Platform,Subscription_Tier,AI_Feature_Used,User_Mood_Pre_Watch,Device_Type,Content_Type,Region,Data_Privacy_Setting,Engagement_Score,Daily_Viewing_Time_Min,Churn_Risk_Probability,Monthly_Subscription_Cost_USD,AI_Feature_Satisfaction,Content_Items_Watched,Weekly_Sessions
Netflix,Ad-Supported,AI-Generated Summary,Bored,Foldable Phone,Shorts,Middle East & Africa,Low,91,162,0.3154,17.28,5.82,1,6
Prime Video,Ad-Supported,Virtual Background Sync,Happy,Smart Glasses,Shorts,Asia Pacific,Low,53,121,0.3389,16.47,3.88,1,4
YouTube,Standard,Virtual Background Sync,Bored,Foldable Phone,Shorts,Asia Pacific,Medium,40,134,0.0025,5.67,7.88,1,3
TikTok,Standard,Real-time Voice Dubbing,Stressed,Foldable Phone,Movies,Asia Pacific,Low,73,78,0.2839,16.23,9.37,1,5
Disney+ AI,Standard,Virtual Background Sync,Energetic,Foldable Phone,Education,Europe,Low,87,226,0.046,34.99,8.94,1,2
Netflix,Ad-Supported,Real-time Voice Dubbing,Stressed,Smart Glasses,Education,Asia Pacific,High,100,117,0.1136,32.03,3.06,22,3
TikTok,Premium AI-Plus,Personalized Story Ending,Energetic,Apple Vision Pro,Shorts,North America,Low,100,109,0.4306,20.57,6.27,48,3
YouTube,Ad-Supported,AI-Generated Summary,Happy,AI-Integrated TV,Shorts,North America,Medium,83,80,0.6523,12.12,9.03,1,7
YouTube,Standard,Virtual Background Sync,Bored,AI-Integrated TV,Shorts,North America,High,68,82,0.1566,3.65,5.3,60,5
Netflix,Premium AI-Plus,AI-Generated Summary,Stressed,Foldable Phone,Movies,Asia Pacific,High,100,92,0.1493,13.21,8.45,30,2
TikTok,Standard,Personalized Story Ending,Stressed,AI-Integrated TV,Shorts,Europe,High,78,20,0.0787,16.94,9.69,4,4
Disney+ AI,Standard,Virtual Background Sync,Happy,Foldable Phone,Shorts,Middle East & Africa,High,91,118,0.1688,26.64,8.84,3,5
Netflix,Standard,AI-Generated Summary,Stressed,Apple Vision Pro,Shorts,North America,Medium,76,120,0.2799,23.49,9.16,1,10
YouTube,Ad-Supported,AI-Generated Summary,Happy,Apple Vision Pro,Shorts,Europe,Medium,57,88,0.3145,32.97,7.21,13,4
Prime Video,Standard,Mood-Based Playlist,Happy,Smart Glasses,Movies,Latin America,Medium,60,184,0.2754,30.41,5.44,35,4
TikTok,Standard,Virtual Background Sync,Happy,AI-Integrated TV,Gaming,Asia Pacific,Low,100,88,0.3402,13.79,3.84,1,5
Netflix,Ad-Supported,Virtual Background Sync,Happy,Foldable Phone,Shorts,Asia Pacific,High,63,131,0.2633,16.46,6.78,25,9
Disney+ AI,Standard,Personalized Story Ending,Energetic,Foldable Phone,Education,Europe,High,83,92,0.4438,5.29,7.56,1,7
Disney+ AI,Ad-Supported,Virtual Background Sync,Happy,Smart Glasses,Gaming,Europe,Low,93,71,0.2964,9.17,8.43,1,4
YouTube,Standard,Mood-Based Playlist,Bored,Foldable Phone,Movies,North America,Medium,64,86,0.0499,34.99,8.18,41,12
Apple TV+,Standard,Personalized Story Ending,Bored,AI-Integrated TV,Shorts,Middle East & Africa,Low,100,92,0.102,10.99,9.32,1,6
Apple TV+,Standard,AI-Generated Summary,Bored,Foldable Phone,Movies,Middle East & Africa,Low,51,117,0.2242,14.98,4.97,6,3
TikTok,Premium AI-Plus,Mood-Based Playlist,Anxious,Smart Glasses,Shorts,Latin America,Medium,72,17,0.2762,11.95,8.58,3,11
TikTok,Ad-Supported,Mood-Based Playlist,Happy,Foldable Phone,Shorts,Asia Pacific,Low,82,19,0.1425,34.6,8.14,2,5
YouTube,Standard,AI-Generated Summary,Bored,Foldable Phone,Movies,Europe,Low,49,77,0.0356,23.57,8.7,1,6
Disney+ AI,Premium AI-Plus,Mood-Based Playlist,Energetic,Foldable Phone,Shorts,Asia Pacific,Medium,95,122,0.1391,11.21,9.27,1,2
TikTok,Standard,AI-Generated Summary,Anxious,AI-Integrated TV,Gaming,Middle East & Africa,Medium,80,130,0.3071,29.51,6.59,1,5
Netflix,Premium AI-Plus,Real-time Voice Dubbing,Anxious,AI-Integrated TV,Movies,Middle East & Africa,Medium,75,121,0.3939,14.75,5.64,1,2
Netflix,Premium AI-Plus,Mood-Based Playlist,Happy,AI-Integrated TV,Education,Europe,High,58,84,0.3545,24.43,6.6,1,1
Apple TV+,Standard,AI-Generated Summary,Stressed,Apple Vision Pro,Shorts,Asia Pacific,Medium,100,121,0.2001,15.65,6.3,20,3
YouTube,Premium AI-Plus,Personalized Story Ending,Happy,Foldable Phone,Education,Asia Pacific,High,62,139,0.2282,16.63,8.7,1,5
Netflix,Ad-Supported,Virtual Background Sync,Energetic,Foldable Phone,Shorts,Asia Pacific,Medium,67,113,0.2155,27.66,7.45,4,7
Netflix,Ad-Supported,Virtual Background Sync,Bored,Apple Vision Pro,Gaming,North America,Medium,57,176,0.0025,16.69,7.74,2,5
TikTok,Ad-Supported,AI-Generated Summary,Stressed,AI-Integrated TV,Movies,Latin America,Low,91,62,0.0821,28.07,7.91,7,8
Apple TV+,Ad-Supported,Personalized Story Ending,Bored,Foldable Phone,Movies,Latin America,Medium,38,70,0.0866,16.54,9.35,1,6
Prime Video,Standard,Real-time Voice Dubbing,Anxious,Apple Vision Pro,Gaming,Middle East & Africa,Low,73,144,0.0702,3.75,6.74,1,4
Netflix,Ad-Supported,Mood-Based Playlist,Happy,AI-Integrated TV,Education,Asia Pacific,Low,100,75,0.5634,7.31,7.74,1,3
YouTube,Ad-Supported,Virtual Background Sync,Energetic,Apple Vision Pro,Movies,Latin America,High,87,128,0.3,33.08,4.66,3,3
Netflix,Ad-Supported,Real-time Voice Dubbing,Happy,Foldable Phone,Gaming,Latin America,Medium,90,203,0.2597,34.99,7.89,3,1
Disney+ AI,Premium AI-Plus,Virtual Background Sync,Energetic,Smart Glasses,Shorts,North America,Medium,67,127,0.2976,13.39,8.79,17,7
TikTok,Premium AI-Plus,Virtual Background Sync,Energetic,AI-Integrated TV,Gaming,Latin America,Low,76,112,0.3502,34.99,5.25,2,2
Netflix,Ad-Supported,Personalized Story Ending,Happy,Foldable Phone,Gaming,Latin America,Low,96,93,0.2135,34.99,9.18,4,7
YouTube,Premium AI-Plus,Virtual Background Sync,Energetic,Apple Vision Pro,Shorts,North America,High,73,125,0.1264,34.99,9.65,2,3
YouTube,Ad-Supported,AI-Generated Summary,Bored,Apple Vision Pro,Movies,Latin America,Low,58,209,0.3682,11.29,8.95,4,5
TikTok,Standard,Virtual Background Sync,Energetic,AI-Integrated TV,Movies,North America,Medium,91,126,0.5334,34.99,9.82,1,4
YouTube,Standard,Real-time Voice Dubbing,Energetic,Smart Glasses,Shorts,Middle East & Africa,Medium,88,99,0.1141,29.38,8.23,39,7
Apple TV+,Premium AI-Plus,Personalized Story Ending,Bored,Foldable Phone,Movies,Europe,High,73,221,0.2279,2.58,7.58,34,6
Prime Video,Ad-Supported,Personalized Story Ending,Bored,Foldable Phone,Movies,Asia Pacific,Medium,75,93,0.399,34.99,9.29,4,3
Netflix,Standard,AI-Generated Summary,Stressed,Foldable Phone,Education,Asia Pacific,Medium,60,169,0.1149,14.46,8.75,1,9
YouTube,Premium AI-Plus,Real-time Voice Dubbing,Bored,AI-Integrated TV,Shorts,Europe,High,54,150,0.1682,22.6,5.53,1,3
TikTok,Standard,Virtual Background Sync,Happy,Smart Glasses,Gaming,North America,Medium,49,113,0.2824,4.73,4.74,19,3
TikTok,Standard,Real-time Voice Dubbing,Bored,AI-Integrated TV,Shorts,North America,Medium,92,76,0.0675,21.32,5.0,3,8
YouTube,Standard,Virtual Background Sync,Stressed,AI-Integrated TV,Gaming,Middle East & Africa,High,65,140,0.2965,22.84,4.28,1,2
Netflix,Standard,Virtual Background Sync,Happy,Apple Vision Pro,Gaming,Asia Pacific,Medium,80,196,0.3995,0.0,10.0,1,2
Netflix,Ad-Supported,AI-Generated Summary,Happy,Foldable Phone,Shorts,Europe,High,39,113,0.3156,0.99,3.69,1,10
Netflix,Ad-Supported,Real-time Voice Dubbing,Anxious,AI-Integrated TV,Movies,Europe,Medium,89,120,0.4617,34.99,9.72,24,5
Netflix,Standard,Virtual Background Sync,Energetic,Foldable Phone,Shorts,Europe,Medium,76,78,0.3213,5.14,7.54,19,2
TikTok,Standard,AI-Generated Summary,Stressed,AI-Integrated TV,Movies,Latin America,Medium,72,92,0.5467,23.07,6.7,15,3
TikTok,Standard,Virtual Background Sync,Energetic,Apple Vision Pro,Shorts,Europe,Medium,83,100,0.2315,17.24,4.49,2,3
Prime Video,Ad-Supported,AI-Generated Summary,Anxious,AI-Integrated TV,Movies,North America,Medium,57,75,0.3915,30.72,7.51,48,3
TikTok,Ad-Supported,AI-Generated Summary,Stressed,AI-Integrated TV,Movies,Asia Pacific,Medium,72,153,0.3641,5.71,6.28,2,3
TikTok,Ad-Supported,Personalized Story Ending,Energetic,AI-Integrated TV,Shorts,Latin America,Medium,82,111,0.2096,14.05,6.41,1,7
Netflix,Ad-Supported,AI-Generated Summary,Energetic,AI-Integrated TV,Shorts,Europe,Medium,64,143,0.3133,26.11,6.34,3,5
Netflix,Premium AI-Plus,Mood-Based Playlist,Stressed,Smart Glasses,Shorts,Asia Pacific,Low,82,129,0.4553,12.03,9.89,24,5
YouTube,Ad-Supported,AI-Generated Summary,Energetic,AI-Integrated TV,Movies,Latin America,High,96,90,0.0992,6.71,10.0,10,5
Prime Video,Standard,Mood-Based Playlist,Stressed,Smart Glasses,Gaming,Asia Pacific,Medium,61,76,0.1798,14.02,9.85,1,6
Netflix,Ad-Supported,Virtual Background Sync,Stressed,AI-Integrated TV,Movies,Europe,High,52,34,0.2358,16.63,8.48,3,3
Netflix,Standard,AI-Generated Summary,Stressed,AI-Integrated TV,Shorts,Latin America,Medium,63,103,0.1493,1.74,9.02,7,2
TikTok,Ad-Supported,AI-Generated Summary,Anxious,AI-Integrated TV,Education,Latin America,Medium,66,46,0.2153,34.99,8.7,4,8
Apple TV+,Ad-Supported,Virtual Background Sync,Energetic,Foldable Phone,Movies,Asia Pacific,Medium,48,141,0.3004,15.87,7.75,1,3
TikTok,Ad-Supported,Mood-Based Playlist,Bored,Smart Glasses,Shorts,North America,High,70,171,0.4487,15.97,8.25,1,7
TikTok,Premium AI-Plus,Real-time Voice Dubbing,Happy,Foldable Phone,Education,North America,High,98,136,0.3682,34.99,8.2,5,9
Netflix,Premium AI-Plus,Mood-Based Playlist,Anxious,AI-Integrated TV,Shorts,Middle East & Africa,Medium,81,147,0.0342,34.3,8.63,1,3
YouTube,Standard,Real-time Voice Dubbing,Bored,AI-Integrated TV,Movies,North America,Medium,70,108,0.1697,10.98,9.56,34,3
Prime Video,Ad-Supported,AI-Generated Summary,Stressed,Apple Vision Pro,Shorts,Asia Pacific,Low,100,180,0.1461,4.16,10.0,1,5
Prime Video,Standard,Mood-Based Playlist,Energetic,AI-Integrated TV,Movies,Middle East & Africa,High,45,153,0.4,16.59,7.83,58,3
Apple TV+,Premium AI-Plus,Personalized Story Ending,Happy,Apple Vision Pro,Movies,Asia Pacific,Medium,99,72,0.6047,25.9,6.88,1,4
TikTok,Ad-Supported,Virtual Background Sync,Bored,Foldable Phone,Shorts,Middle East & Africa,Medium,80,68,0.6267,4.73,7.29,1,4
Netflix,Premium AI-Plus,AI-Generated Summary,Happy,AI-Integrated TV,Shorts,Asia Pacific,Low,83,249,0.2807,14.69,7.96,9,3
Prime Video,Standard,Mood-Based Playlist,Energetic,Foldable Phone,Gaming,North America,Low,70,96,0.2004,24.48,3.88,1,9
TikTok,Ad-Supported,Virtual Background Sync,Happy,Apple Vision Pro,Movies,North America,High,98,109,0.3227,17.64,9.87,1,5
Netflix,Ad-Supported,Virtual Background Sync,Energetic,Apple Vision Pro,Education,Asia Pacific,Medium,100,148,0.2075,28.22,6.51,8,3
Netflix,Standard,Mood-Based Playlist,Energetic,Foldable Phone,Shorts,Asia Pacific,Medium,90,126,0.3272,16.48,6.76,1,4
TikTok,Ad-Supported,Real-time Voice Dubbing,Happy,Foldable Phone,Shorts,Asia Pacific,Medium,64,28,0.2138,31.86,6.81,3,5
YouTube,Ad-Supported,Virtual Background Sync,Anxious,Foldable Phone,Movies,North America,Low,74,131,0.8243,15.11,9.33,1,9
Disney+ AI,Standard,Real-time Voice Dubbing,Anxious,Smart Glasses,Shorts,Middle East & Africa,Medium,43,79,0.2485,34.99,9.68,1,7
Netflix,Ad-Supported,AI-Generated Summary,Energetic,Foldable Phone,Education,Latin America,Low,92,98,0.078,15.97,8.62,1,3
TikTok,Premium AI-Plus,Mood-Based Playlist,Happy,Foldable Phone,Shorts,North America,Medium,100,122,0.1486,5.23,7.29,1,7
Apple TV+,Standard,Real-time Voice Dubbing,Stressed,AI-Integrated TV,Movies,Middle East & Africa,Medium,67,175,0.3485,33.92,8.29,1,3
Netflix,Premium AI-Plus,Mood-Based Playlist,Anxious,Smart Glasses,Shorts,Latin America,Medium,53,72,0.1614,16.11,5.4,1,6
TikTok,Ad-Supported,Mood-Based Playlist,Energetic,Smart Glasses,Shorts,North America,High,86,120,0.7985,22.14,10.0,18,6
Apple TV+,Ad-Supported,Personalized Story Ending,Stressed,Apple Vision Pro,Movies,North America,High,68,91,0.1238,7.29,8.68,4,5
YouTube,Standard,Mood-Based Playlist,Bored,AI-Integrated TV,Shorts,Europe,Medium,73,42,0.5421,7.85,9.46,4,4
TikTok,Standard,Personalized Story Ending,Energetic,AI-Integrated TV,Movies,Middle East & Africa,High,53,112,0.3015,34.99,7.52,15,2
Prime Video,Standard,Virtual Background Sync,Happy,AI-Integrated TV,Education,North America,Medium,95,176,0.3253,34.99,7.72,1,2
Disney+ AI,Standard,Real-time Voice Dubbing,Happy,Apple Vision Pro,Shorts,North America,Low,70,41,0.2323,28.65,9.73,26,2
Prime Video,Premium AI-Plus,AI-Generated Summary,Stressed,AI-Integrated TV,Gaming,Middle East & Africa,Medium,73,57,0.5602,15.93,6.74,2,3
